"Story","Title","Result","Date","Stability","Duration (s)"
"Games test","This test will verify startTime should always be a future timestamp","SUCCESS","2022-06-18T00:07:06.309+01:00[Europe/London]","0.0","6.07"
"Games test","This test will verify defaultGameFrequency value should be '300000' ","FAILURE","2022-06-18T00:07:12.613+01:00[Europe/London]","0.0","0.33"
